545	Aelita	1924	Soviet Union	adventure	drama	fantasy
546	As Good as It Gets	1997	USA	comedy	drama	romance
547	Anaconda	1997	"USA,Brazil,Peru"	action	adventure	horror
551	Pooh's Heffalump Movie	2005	USA	animation	family	fantasy
554	Mou gaan dou	2002	Hong Kong	crime	mystery	thriller
557	Sahara	2005	"UK,Spain,Germany,USA"	action	adventure	comedy
560	Boogeyman	2005	"USA,New Zealand,Germany"	drama	horror	mystery
561	Hide and Seek	2005	"USA,Germany"	horror	mystery	thriller
562	Kung Pow: Enter the Fist	2002	"USA,Hong Kong"	action	comedy	
563	Queen of the Damned	2002	"USA,Australia"	drama	fantasy	horror
564	Gladiator	2000	"USA,UK"	action	drama	
565	Taxi Driver	1976	USA	crime	drama	
567	The Unforgiven	1960	USA	drama	romance	western
568	Madagascar	2005	USA	adventure	animation	comedy
569	Event Horizon	1997	"UK,USA"	horror		
570	Coffee and Cigarettes	2003	"USA,Japan,Italy"	comedy	drama	music
572	Azumi 2: Death or Love	2005	Japan	action		
574	28 Days Later...	2002	UK	horror		
575	Musa	2001	"South Korea,China"	action	drama	history
576	Coach Carter	2005	"USA,Germany"	drama	sport	
577	Vampires	1998	"USA,Japan"	action	horror	thriller
578	L'ennui	1998	"France,Portugal"	drama	romance	
579	Star Wars: Revelations	2005	USA	action	adventure	
580	A Soldier's Story	1984	USA	crime	drama	mystery
582	Bambi	1942	USA	animation	family	
584	Night of the Living Dead	1968	USA	horror		
586	Intimacy	2001	"France,UK,Germany,Spain"	drama	romance	
588	Dear Frankie	2004	UK	drama	romance	
591	Terminator 2: Judgment Day	1991	"USA,France"	action	action	
592	Kaal	2005	India	adventure	mystery	thriller
595	25th Hour	2002	USA	crime	drama	
596	Freaky Friday	2003	USA	comedy	family	fantasy
597	Grass	1999	Canada	documentary	history	
600	Hellraiser: Deader	2005	"USA,Romania"	horror	mystery	thriller
601	The Waterboy	1998	USA	comedy	sport	
602	Batoru rowaiaru II: Chinkonka	2003	Japan	action	drama	thriller
603	Nutty Professor II: The Klumps	2000	USA	comedy	fantasy	romance
605	The Pacifier	2005	"Canada,USA"	action	comedy	drama
611	Ravenous	1999	"Czech Republic,UK,USA"	horror	thriller	
612	The Rocky Horror Picture Show	1975	"UK,USA"	comedy	musical	
613	The Majestic	2001	"USA,Australia"	drama	romance	
614	Scarface	1983	USA	crime	drama	
617	X-Men	2000	USA	action	adventure	
618	The Yes Men	2003	USA	comedy	documentary	
619	Big Trouble in Little China	1986	USA	action	adventure	comedy
623	In Good Company	2004	USA	comedy	drama	romance
624	First Daughter	2004	USA	comedy	drama	romance
625	National Lampoon Presents Dorm Daze	2003	USA	comedy	crime	mystery
626	What a Girl Wants	2003	USA	comedy	drama	romance
628	Mi nismo andjeli 2	2005	Serbia and Montenegro	comedy		
630	The Cell	2000	"USA,Germany"	horror	thriller	
631	Apocalypse Now	1979	USA	drama	war	
632	Cast Away	2000	USA	adventure	drama	
633	Backbeat	1994	"UK,Germany"	biography	drama	music
635	The Terminator	1984	"UK,USA"	action		
636	The Life of David Gale	2003	"USA,Germany,UK"	crime	drama	thriller
637	The Way of the Gun	2000	USA	action	crime	drama
638	Black Hawk Down	2001	"USA,UK"	drama	history	war
639	Full Metal Jacket	1987	"UK,USA"	drama	war	
640	A Clockwork Orange	1971	"UK,USA"	crime	drama	
641	Excalibur	1981	"USA,UK"	adventure	drama	fantasy
642	Wild at Heart	1990	USA	comedy	crime	thriller
